chapter,section,axiom_number,fol,english
6,6.1,(6.12),(forall (s s1 x y) (iff (replaceElt s s1 x y) (exists (s2) (and (deleteElt s2 s1 x) (addElt s s2 y))))),Set s is obtained from set s1 by replacing element x with element y
6,6.1,(6.13),(forall (s s1 s2) (iff (union s s1 s2) (and (set s)(set s1)(set s2) (forall (x) (iff (member x s) (or (member x s1)(member x s2))))))),Set s is the union of sets s1 and s2 if its members are members of either s1 or s2
6,6.1,(6.14),(forall (s s1 s2 s3) (iff (union3 s s1 s2 s3) (exists (s4) (and (union s s1 s4)(union s4 s2 s3))))),Union of three sets is performed by taking two sequential unions
6,6.1,(6.15),(forall (s s1 s2) (iff (setdiff s s1 s2) (and (set s)(set s1)(set s2) (forall (x) (iff (member x s) (and (member x s1) (not (member x s2)))))))),Set s is the set difference between s1 and s2 exactly when the members of s are the members of s1 less the members of s2
6,6.1,(6.16),(forall (s s1 s2) (iff (intersection s s1 s2) (and (set s)(set s1)(set s2) (forall (x) (iff (member x s) (and (member x s1)(member x s2))))))),Set s is the intersection of s1 and s2 if its members are in both s1 and s2
6,6.1,(6.17),(forall (s1 s2) (iff (subset s1 s2) (and (set s1)(set s2) (forall (x)(if (member x s1)(member x s2)))))),s1 is a subset of s2 if all members of s1 are also members of s2
6,6.1,(6.18),(forall (s1 s2) (iff (properSubset s1 s2) (and (subset s1 s2)(nequal s1 s2)))),A proper subset is a subset which is not equal
6,6.1,(6.19),(forall (s1 s2) (if (and (set s1)(set s2)) (iff (disjoint s1 s2) (not (exists (x) (and (member x s1)(member x s2))))))),Two sets are disjoint if they have no members in common
6,6.1,(6.20),(forall (s0 s) (iff (powerSet s0 s) (forall (s1)(iff (member s1 s0)(subset s1 s))))),The power set of a set is the set of all its subsets
6,6.1,(6.21),(forall (n s) (iff (card n s) (and (nonNegInteger n)(set s) (or (and (null s)(equal n 0)) (exists (s1 x m) (and (addElt s s1 x) (not (member x s1)) (card m s1) (sum n m 1))))))),"Cardinality is defined recursively: null set has cardinality 0, and adding a new element increases cardinality by 1"
6,6.1,(6.22),(forall (s) (iff (eventualities s) (and (set s) (forall (e) (if (member e s)(eventuality e)))))),The predicate eventualities is true of sets all of whose members are eventualities
7,7.1,(7.1),(forall (x e1 y e2) (iff (subst x e1 y e2) (exists (p n) (and (pred p e1)(pred p e2)(arity n e1)(arity n e2) (noSubstTypelt x e1 y e2) (forall (i z1 z2) (if (and (posInteger i)(leq i n) (argn z1 i e1)(argn z2 i e2)) (and (iff (eventuality z1) (eventuality z2)) (if (not (eventuality z1)) (and (if (nequal z1 x) (equal z2 z1)) (if (equal z1 x) (equal z2 y)))) (if (eventuality z1) (subst x z1 y z2))))))))),"x plays the same role in e1 that y plays in e2 - both eventualities have same predicate and arity, and corresponding arguments are either both eventualities (with recursive substitution) or non-eventualities where x maps to y"
7,7.1,(7.2),(forall (x1 x2 e1 y1 y2 e2) (iff (subst2 x1 x2 e1 y1 y2 e2) (exists (e3) (and (subst x1 e1 y1 e3) (subst x2 e3 y2 e2))))),"Two substitutions can be done by doing one at a time - substitute x1 with y1 in e1 to get e3, then substitute x2 with y2 in e3 to get e2"
7,7.2,(7.3),(forall (s) (iff (set s) (exists (x) (typelt x s)))),Something is a set if and only if it has a typical element
7,7.2,(7.4),(forall (x s y e1 e2) (if (and (typelt x s)(member y s)(subst x e1 y e2) (Rexist e1)) (Rexist e2))),All properties of typical elements are inherited by the real members of the set
7,7.2,(7.5),(forall (s x e) (if (dset s x e) (and (set s)(typelt x s)(arg* x e)))),"If s is a defined set with typical element x and property e, then s is a set, x is its typical element, and x appears in e"
7,7.2,(7.6),(forall (s x e y e1) (if (and (dset s x e)(subst x e y e1)(Rexist e) (notSubsetTypelt y s)) (iff (member y s)(Rexist e1)))),An entity is a member of a defined set if and only if the property e holds for it
7,7.3,(7.7),(forall (x e1 y e2) (iff (noSubstTypelt x e1 y e2) (exists (s) (and (typelt' e1 x s)(member y s))))),Blocks substitution when e1 is a typical element relation between x and s and y is a member of s
7,7.3,(7.8),(forall (y s) (iff (notSubsetTypelt y s) (not (exists (s1)(and (typelt y s1)(subset s1 s)))))),y is not a typical element of a subset of s - blocks problematic applications of defined set membership
7,7.4,(7.9),(forall (x y e) (if (fd y x e) (and (arg* x e)(arg* y e) (exists (s) (typelt x s))))),"If y is functionally dependent on x with respect to e, then both x and y appear in e and x is a typical element of some set"
7,7.4,(7.10),(forall (x y e s x1) (if (and (fd y x e)(Rexist e)(typelt x s)(member x1 s)) (exists (y1 e1) (and (subst2 x y e x1 y1 e1)(Rexist e1))))),"When e holds and a real entity instantiates x, then there is a real entity that instantiates y and the corresponding eventuality holds"
7,7.4,(7.11),(forall (x x1 y y1 e) (iff (skfct y1 y x1 x e) (and (fd y x e) (exists (e1) (and (subst2 x y e x1 y1 e1) (if (Rexist e)(Rexist e1))))))),y1 is the value of the function defined by the functional dependency of y on x with respect to e when applied to x1
7,7.4,(7.12),(forall (s1 x y e) (iff (rangeFd s1 y x e) (forall (y1) (iff (member y1 s1) (exists (x1) (skfct y1 y x1 x e)))))),The range of the functional dependency is the set of all values of the skolem function
7,7.4,(7.13),(forall (c1 c x1 x y e e1) (if (and (skfct c1 c x1 x e) (fd c y e) (nequal x y) (subst2 c1 x1 e1 c x e)) (fd c1 y e1))),Functional dependence relations are inherited by partial instantiations
7,7.4,(7.14),(forall (x) (iff (nonspecific x) (or (exists (s) (typelt x s)) (exists (y s e) (and (typelt y s) (fd x y e)))))),An entity is nonspecific if it is a typical element of a set or functionally dependent on a typical element of a set
7,7.4,(7.15),(forall (x) (iff (specific x) (not (nonspecific x)))),An entity is specific if and only if it is not nonspecific
7,7.5,(7.16),(forall (s e) (iff (parameters s e) (forall (x) (iff (member x s) (exists (s1) (and (arg* x e)(typelt x s1))))))),The parameters of an abstract eventuality e are those typical elements of sets that are somehow involved in e
7,7.5,(7.17),(forall (e1 e) (iff (partialInstance e1 e) (forall (s x) (if (and (member x s)(parameters s e)) (exists (x1 s1) (and (subst x e x1 e1)(typelt x s1) (or (member x1 s1) (exists (s2) (and (typelt x1 s2) (subset s2 s1)))))))))),"e1 is a partial instance of e when for every parameter x in e, there is a corresponding entity x1 in e1 which is either a member of the set that x ranges over or is a typical element of a subset of that set"
7,7.5,(7.18),(forall (e1 e) (iff (instance e1 e) (and (partialInstance e1 e) (forall (s1) (if (parameters s1 e1) (null s1)))))),A complete instantiation is a partial instantiation with no remaining parameters
7,7.5,(7.19),(forall (e1 y x) (iff (holdsFor e1 y x) (exists (s e2) (and (subst y e2 x e1)(typelt x s)(member y s) (Rexist e2))))),"An eventuality type e1 holds for an entity y as its x parameter if when the entity is substituted for x in the eventuality type, the resulting instantiation really exists"
8,8.1,(8.1),(forall (e e1 e2) (if (and' e e1 e2) (and (eventuality e) (eventuality e1) (eventuality e2) (iff (Rexist e) (and (Rexist e1)(Rexist e2)))))),"If e is the conjunction of e1 and e2, then all are eventualities, and e really exists exactly when e1 and e2 both really exist"
8,8.1,(8.2),(forall (s) (if (set s) (iff (Rexist s) (forall (e) (if (member e s)(Rexist e)))))),A set really exists if and only if all its members really exist
8,8.2,(8.3),(forall (e1 e2) (if (not' e1 e2) (and (eventuality e1)(eventuality e2) (iff (Rexist e1) (not (Rexist e2)))))),"If e1 is the eventuality of e2's not obtaining, then e1 really exists exactly when e2 does not really exist"
8,8.2,(8.4),(forall (e1 e2) (if (nott' e1 e2) (exists (e3) (and (instance e2 e3)(not' e1 e3))))),"Type negation: there is an eventuality type of which e2 is an instance, and the negation is the negation of that eventuality type"
8,8.2,(8.5),(forall (e1 e2) (if (and (not' e1 e2)(Rexist e1)) (and (eventuality e1)(eventuality e2) (not (Rexist e2))))),"If a negation really exists, the thing negated doesn't"
8,8.3,(8.6),(forall (e e1 e2) (if (or' e e1 e2) (and (eventuality e) (eventuality e1) (eventuality e2) (iff (Rexist e) (or (Rexist e1)(Rexist e2)))))),"If eventuality e is the disjunction of eventualities e1 and e2, then e really exists exactly when one of e1 and e2 really exists"
8,8.3,(8.7),(forall (e s) (if (disjunction e s) (and (eventuality e)(eventualities s) (iff (Rexist e) (exists (e1) (and (member e1 s)(Rexist e1))))))),The disjunction of a set really exists exactly when one of the members of the set really exists
8,8.3,(8.8),(forall (e e1 e2) (if (imply' e e1 e2) (and (eventuality e) (eventuality e2) (or (eventuality e1) (eventualities e1))))),"If e is an implication from e1 to e2, then e and e2 are eventualities, and e1 is either an eventuality or a set of eventualities"
8,8.3,(8.9),(forall (e e1 e2) (if (imply' e e1 e2) (iff (Rexist e) (if (Rexist e1)(Rexist e2))))),The implication really exists provided the consequent really exists whenever the antecedent really exists
8,8.3,(8.10),(forall (e e1 e2) (if (and (imply' e e1 e2)(Rexist e)(Rexist e1)) (Rexist e2))),"If e is the implication from e1 to e2, and e and e1 really exist, then e2 also really exists"
8,8.3,(8.11),(forall (e1 e2 e3 i1 i2 i3) (if (and (imply' i1 e1 e2)(imply' i2 e2 e3)(imply' i3 e1 e3) (Rexist i1)(Rexist i2)) (Rexist i3))),"Implication is transitive: if e1 implies e2 and e2 implies e3, then e1 implies e3"
8,8.3,(8.12),(forall (s1 s2) (iff (inconsistent s1 s2) (and (eventualities s1) (eventualities s2) (exists (e1 e2) (and (imply s1 e1)(imply s2 e2)(not' e2 e1)))))),Two sets of eventualities are inconsistent if one implies an eventuality and the other implies its negation
8,8.3,(8.13),(forall (s1 e2) (iff (minimallyProves s1 e2) (and (not (member e2 s1)) (imply s1 e2) (not (exists (s2) (and (properSubset s2 s1) (imply s2 e2))))))),"Some set s1 of eventualities minimally proves an eventuality e2 if s1 implies e2 but no proper subset of s1 proves e2, and e2 is not itself a member of s1"
9,9.1,(9.1),(forall (p) (iff (pair0 p) (exists (x y) (pair p x y)))),Something is a pair if and only if it is an ordered pair of two elements
9,9.1,(9.2),(forall (p x y) (if (pair p x y) (and (first x p)(second y p)))),"If p is the pair <x,y>, then x is the first element of p and y is the second element of p"
9,9.1,(9.3),(forall (p1 x1 y1 p2 x2 y2) (if (or (pair p1 x1 y1)(pair p2 x2 y2)) (iff (equal p1 p2) (and (pair p1 x1 y1)(pair p2 x2 y2) (equal x1 x2)(equal y1 y2))))),Two pairs are equal exactly when their first elements are equal and their second elements are equal
9,9.1,(9.4),(forall (p x1 x2 y1 y2) (if (and (pair p x1 y1)(pair p x2 y2)) (and (equal x1 x2)(equal y1 y2)))),The first and second elements of a pair are unique
9,9.1,(9.5),(forall (f s1 s2) (iff (function0 f s1 s2) (and (set s1)(set s2)(set f) (forall (p) (if (member p f) (exists (x y) (and (member x s1)(member y s2) (pair p x y))))) (forall (x) (if (member x s1) (exists (p) (and (member p f)(first x p))))) (forall (p1 p2 x) (if (and (first x p1)(first x p2) (member p1 f)(member p2 f)) (equal p1 p2))) (forall (y) (if (member y s2) (exists (p) (and (member p f)(second y p)))))))),"A function f from set s1 onto set s2 is a set of pairs where each element of s1 occurs exactly once as first element, and every element of s2 occurs as second element of at least one pair"
9,9.1,(9.6),(forall (f s1 s2) (if (function0 f s1 s2)(domain s1 f))),"If f is a function from s1 to s2, then s1 is the domain of f"
9,9.1,(9.7),(forall (f s1 s2) (if (function0 f s1 s2)(range s2 f))),"If f is a function from s1 to s2, then s2 is the range of f"
9,9.1,(9.8),(forall (f x y) (iff (map f x y) (exists (s1 s2 p) (and (function0 f s1 s2)(member p f) (first x p)(second y p))))),"Function f maps x to y when the pair <x,y> is a member of f; f(x) = y"
9,9.1,(9.9),(forall (y1 y x1 x e s1 s2) (if (and (skfct y1 y x1 x e)(typelt x s1)(rangeFd s2 y x e)) (exists (f) (and (function0 f s1 s2) (forall (p) (iff (pair p x1 y1)(member p f))))))),"When we have a Skolem function, we have a corresponding mathematical function"
9,9.2,(9.10),(forall (s n1 n2) (iff (ints s n1 n2) (and (posInteger n1)(posInteger n2)(set s) (forall (n) (iff (member n s) (and (posInteger n)(leq n1 n)(leq n n2))))))),"s is the set of all positive integers from n1 to n2, including n1 and n2"
9,9.2,(9.11),(forall (s) (iff (sequence s) (exists (s1 s2 n) (and (function0 s s1 s2)(ints s1 1 n))))),A sequence of length n is a function whose domain is the first n positive integers
9,9.2,(9.12),(forall (n s) (if (sequence s) (iff (length n s) (exists (s1 s2) (and (function0 s s1 s2)(ints s1 1 n)))))),The length of a sequence is the upper bound of its domain interval
9,9.2,(9.13),(forall (s n y) (if (sequence s) (iff (nth y n s)(map s n y)))),The nth element in a sequence is the entity that n is mapped to by the function
9,9.2,(9.14),(forall (s y) (if (sequence s) (iff (first y s)(nth y 1 s)))),The first element of a sequence is the nth element where n is 1
9,9.2,(9.15),(forall (s1 s) (iff (rest s1 s) (and (sequence s)(sequence s1) (forall (i x) (iff (map s1 i x) (exists (j) (and (posInteger i)(successor j i) (map s j x)))))))),The rest of a sequence is the sequence that remains after the first element is removed
9,9.2,(9.16),(forall (s y n) (if (and (sequence s)(length n s)) (iff (last y s)(nth y n s)))),The last element of a sequence is the nth element where n is the length of the sequence
9,9.2,(9.17),(forall (x s) (iff (inSeq x s) (exists (n) (nth x n s)))),An entity is in a sequence if it is the nth element of the sequence for some n
9,9.2,(9.18),(forall (x y s) (iff (beforeInSeq x y s) (exists (n1 n2) (and (sequence s)(nth x n1 s)(nth y n2 s) (lt n1 n2))))),"If one element's position n is less than another's, it is before the other in the sequence"
9,9.2,(9.19),(forall (x1 x2 s) (iff (successiveElts x1 x2 s) (exists (n1 n2) (and (successor n2 n1)(nth x1 n1 s)(nth x2 n2 s))))),Two elements are successive in a sequence if their positions are consecutive integers
11,11.1,(11.1),(forall (x) (if (bird x)(fly x))),Birds fly - classical monotonic version that leads to contradictions
11,11.1,(11.2),(forall (x) (if (and (bird x)(etc1 x)) (fly x))),"If x is a bird and x has other unspecified properties encoded as etc1, then x can fly"
11,11.1,(11.3),(forall (x) (if (emu x)(bird x))),Emus are birds
11,11.1,(11.4),(forall (x) (if (emu x)(not (fly x)))),Emus don't fly
11,11.1,(11.5),(forall (x) (if (and (bird x)(not (ab1 x))) (fly x))),"If x is a bird and x is not abnormal in a way specific to ab1, then x can fly - circumscriptive logic form"
11,11.1,(11.6),(forall (x) (if (emu x)(ab1 x))),Being an emu is one way of being abnormal with respect to flying
11,11.1,(11.7),(forall (x) (if (and (bird x)(etc2 x)) (twoLegged x))),Birds defeasibly have two legs
11,11.1,(11.8),(forall (x) (if (and (bird x)(etc3 x)) (feathered x))),Birds defeasibly have feathers
11,11.1,(11.9),(forall (x) (if (bird x)(iff (etc3 x)(feathered x)))),"For birds, the etc3 conditions are equivalent to being feathered"
11,11.1,(11.10),(forall (x) (if (and (bird x)(etc1 x))(etc3 x))),"If the extra conditions that enable a bird to fly are true, then so are the extra conditions that make it feathered"
11,11.1,(11.11),(forall (x) (if (and (bird x)(fly x))(feathered x))),Birds that can fly must have feathers
11,11.1,(11.12),(forall (x y)(if (and (mother x y)(etc4 x y))(love x y))),Mothers defeasibly love their children
11,11.1,(11.13),(forall (x y) (if (and (p x y)(etc.11.14 x y)) (exists (z) (q x z)))),General pattern for defeasible axioms with fully specified etc predicate
11,11.1,(11.14),(forall (x y) (if (and (p x y)(etc)) (exists (z) (q x z)))),General pattern for defeasible axioms with abbreviated etc predicate
12,12.1,(12.1),(forall (s) (if (scale s) (and (compositeEntity s) (exists (s1 e x y s2 s3) (and (componentsOf s1 s) (partialOrdering e x y s) (subset s2 s3)(relationsOf s3 s) (forall (e1) (if (member e1 s2) (exists (x1 y1) (and (member x1 s1)(member y1 s1) (subst2 x1 y1 e1 x y e))))))))))),A scale is a composite entity with components and a partial ordering relation among them
12,12.1,(12.2),(forall (e x y s) (if (partialOrdering e x y s) (and (scale s)(arg* x e)(arg* y e)))),"If e is a partial ordering on scale s, then s is a scale and e is a relation between x and y"
12,12.1,(12.3),(forall (y s) (iff (inScale y s) (and (scale s)(componentOf y s)))),Being in a scale is an abbreviation for being a component of a scale
12,12.1,(12.4),(forall (e x1 y1 s) (iff (lts' e1 x1 y1 s) (exists (e x y e1) (and (partialOrdering e x y s) (subst2 x y e x1 y1 e1))))),lts defines a 'less than' relation relative to a particular scale s using substitution into the partial ordering
12,12.1,(12.5),(forall (x s) (not (lts x x s))),The partial ordering is antireflexive - no element is less than itself
12,12.1,(12.6),(forall (x y s) (if (lts x y s)(not (lts y x s)))),The partial ordering is antisymmetric - if x < y then not y < x
12,12.1,(12.7),(forall (x y z s) (if (and (lts x y s)(lts y z s)) (lts x z s))),The partial ordering is transitive - if x < y and y < z then x < z
12,12.1,(12.8),(forall (x y s) (iff (gts y x s)(lts x y s))),Greater than is defined as the reverse of less than
12,12.1,(12.9),(forall (x y s) (if (lts x y s) (and (or (inScale x s) (exists (x1) (and (at x x1 s)(inScale x1 s)))) (or (inScale y s) (exists (y1) (and (at y y1 s)(inScale y1 s))))))),Arguments of lts must be either points on the scale or entities at points on the scale
12,12.1,(12.10),(forall (x1 x2 y1 y2 s) (and (if (at x1 y1 s) (iff (lts x1 y2 s)(lts y1 y2 s))) (if (at x2 y2 s) (iff (lts y1 x2 s)(lts y1 y2 s))) (if (and (at x1 y1 s)(at x2 y2 s)) (iff (lts x1 x2 s)(lts y1 y2 s))))),The at relation preserves the partial ordering - entities at points inherit the ordering of those points
12,12.1,(12.11),(forall (x s) (iff (onScale x s) (or (inScale x s) (exists (y) (and (inScale y s)(at x y s)))))),onScale covers both points in a scale and entities at points in a scale
12,12.1,(12.12),(forall (x y s) (iff (leqs x y s) (or (lts x y s) (and (onScale x s)(equal x y))))),Less than or equal is either less than or equal (for entities on the scale)
12,12.1,(12.13),(forall (x y s) (iff (geqs x y s) (or (gts x y s) (and (onScale x s)(equal x y))))),Greater than or equal is either greater than or equal (for entities on the scale)
12,12.1,(12.14),(forall (x y s) (if (and (leqs x y s)(leqs y x s)) (equal x y))),"If x ≤ y and y ≤ x, then x = y (antisymmetry for ≤)"
12,12.1,(12.15),(forall (x s) (iff (top x s) (and (inScale x s) (forall (y) (if (inScale y s)(leqs y x s)))))),The top of a scale is the highest point - all other points are less than or equal to it
12,12.1,(12.16),(forall (x s) (iff (bottom x s) (and (inScale x s) (forall (y) (if (inScale y s)(leqs x y s)))))),The bottom of a scale is the lowest point - it is less than or equal to all other points
12,12.1,(12.17),(forall (s1 s) (iff (subscale s1 s) (and (scale s1)(scale s) (forall (x) (if (inScale x s1)(inScale x s))) (forall (x y) (iff (lts x y s1) (and (inScale x s1)(inScale y s1) (lts x y s))))))),A subscale has a subset of components and the partial ordering restricted to that subset
12,12.1,(12.18),(forall (s1 s) (iff (reverse s1 s) (and (scale s1)(scale s) (forall (x y) (and (iff (inScale x s)(inScale x s1)) (iff (lts x y s)(lts y x s1))))))),The reverse of a scale has the same components but reversed partial ordering
12,12.1,(12.19),(forall (s1 s2) (if (and (scale s1)(scale s2)) (iff (disjoint s1 s2) (exists (s3 s4) (and (componentsOf s3 s1)(componentsOf s4 s2) (disjoint s3 s4)))))),Two scales are disjoint if their sets of components are disjoint
12,12.1,(12.20),(forall (e x y s) (if (lts' e x y s) (iff (totalOrdering e x y s) (forall (x1 y1) (if (and (inScale x1 s)(inScale y1 s)) (or (lts x1 y1 s)(equal x1 y1) (lts y1 x1 s))))))),A total ordering is a partial ordering where any two elements are comparable
12,12.1,(12.21),(forall (s) (if (scale s)(ground s))),A scale is potentially a ground - entities can be located 'at' points on a scale
12,12.2,(12.22),(forall (f s1 s2) (iff (function f s1 s2) (exists (s3 s4) (and (if (set s1)(equal s3 s1)) (if (scale s1)(componentsOf s3 s1)) (if (set s2)(equal s4 s2)) (if (scale s2)(componentsOf s4 s2)) (function0 f s3 s4))))),Extends the notion of function to scales by using their component sets as domain/range
12,12.2,(12.23),(forall (f s1 s2) (if (and (function f s1 s2)(scale s1)(scale s2)) (iff (monotoneIncreasing f) (forall (x1 x2 y1 y2) (if (and (map f x1 y1)(map f x2 y2)(lts x1 x2 s1)) (lts y1 y2 s2)))))),A scale-to-scale function is monotone-increasing if it preserves the 'less than' ordering
12,12.2,(12.24),(forall (f s1 s3) (iff (functionInto f s1 s3) (exists (s2) (and (or (subset s2 s3)(subscale s2 s3)) (function f s1 s2))))),A function f is 'into' a set or scale s3 if there is a subset or subscale s2 for which f is onto
12,12.3,(12.25),(forall (s s1 e) (iff (scaleDefinedBy s s1 e) (and (scale s)(componentsOf s1 s) (exists (x y) (partialOrdering e x y s))))),A scale is defined by specifying the set of entities as components and the relation as partial ordering
12,12.3,(12.26),(forall (s s1 e x y) (if (and (sequence s)(componentsOf s1 s) (beforeInSeq' e x y s)) (and (scaleDefinedBy s s1 e) (forall (z)(if (first z s)(bottom z s)))))),"A sequence is a scale whose partial ordering is the beforeInSeq relation, with first element as bottom"
12,12.3,(12.27),(forall (s1 e x y) (if (and (forall (s2)(if (member s2 s1)(set s2))) (subset' e x y)) (exists (s) (and (scaleDefinedBy s s1 e) (forall (z) (if (and (member z s1)(null z)) (bottom z s))))))),"A set of sets under the subset relation is a scale, with null set as bottom if present"
12,12.3,(12.28),(forall (s e) (iff (subsetConsistent s e) (and (scale s)(eventuality e) (forall (s0)(if (argn s0 1 e)(set s0))) (forall (x)(if (argn x 2 e)(exists (y)(at x y s)))) (forall (e1 e2 s1 s2 x1 x2) (if (and (instance e1 e)(argn s1 1 e1) (argn x1 2 e1) (instance e2 e)(argn s2 1 e2) (argn x2 2 e2) (subset s1 s2)) (leqs x1 x2 s)))))),A scale whose ordering is consistent with the subset ordering among sets associated with entities placed at points in the scale
12,12.3,(12.29),(forall (s1 s2 x1 x2 s) (if (and (subset s1 s2)(r s1 x1)(r s2 x2)) (leqs x1 x2 s))),"Given some mapping r, if s1 ⊆ s2 and r maps s1 to x1 and s2 to x2, then x1 ≤ x2 on the scale"
12,12.3,(12.30),(forall (s s1 s2) (if (compositeScale s s1 s2) (and (exists (s3) (and (componentsOf s3 s1)(componentsOf s3 s2) (componentsOf s3 s))) (forall (x y) (if (and (lts x y s1)(leqs x y s2)) (lts x y s))) (forall (x y) (if (and (leqs x y s1)(lts x y s2)) (lts x y s)))))),A composite scale has the same components as two original scales and ordering consistent with both
12,12.4,(12.31),(forall (s1 s) (if (Hi s1 s)(subscale s1 s))),The Hi region of a scale is a subscale
12,12.4,(12.32),(forall (s1 s) (if (Md s1 s)(subscale s1 s))),The Md (middle) region of a scale is a subscale
12,12.4,(12.33),(forall (s1 s) (if (Lo s1 s)(subscale s1 s))),The Lo (low) region of a scale is a subscale
12,12.4,(12.34),(forall (s1 s) (if (Hi s1 s) (forall (x) (iff (top x s)(top x s1))))),The top of the scale is in the Hi region and is the top of the Hi region
12,12.4,(12.35),(forall (s1 s) (if (Lo s1 s) (forall (x) (iff (bottom x s)(bottom x s1))))),The bottom of a scale is the bottom of its Lo region
12,12.4,(12.36),(forall (s s1 s2 x y) (if (and (Hi s1 s)(Lo s2 s)(inScale x s1)(inScale y s2)) (lts y x s))),"If a point is in the Lo region, then it is less than all the points in the Hi region"
